lkp,bsk5,hsk,soluble_oxygen,ph,roundworms,conformity
2900,5.9589,18.2565,,8.87733,0,1
1500,3.93774,,4.46754,,0,1
5500,3.89149,14.1533,,,0,1
3400,3.23713,17.8587,3.93478,,0,1
4200,4.18281,7.18784,3.34807,,0,1
5800,3.656,,,,0,1
1500,,21.5867,,7.2454,0,1
2100,2.65396,15.4648,4.31889,7.5031,0,1
4600,2.67422,23.384,9.27456,,0,1
1200,5.21245,4.16648,3.71688,,0,1
4800,1.59295,20.7454,8.52417,8.49574,0,1
3800,,,8.38873,7.42461,0,1
5300,5.16578,9.22295,6.82142,,0,1
3100,2.31407,,,,0,1
3200,5.10652,18.0552,,7.78245,0,1
3300,4.8602,29.4989,8.79187,,0,1
2900,,10.5346,,6.3062,0,1
3900,2.2614,21.1054,,6.85226,0,1
5400,5.36628,17.5006,5.39606,7.31628,0,1
1000,2.02572,14.4258,,,0,1
4600,1.48197,15.2553,,7.92746,0,1
3100,2.40227,22.0017,7.98889,6.8065,0,1
3300,1.64841,29.9468,,,0,1
2700,1.74285,3.18696,,,0,1
1100,5.44851,13.2378,4.83795,,0,1
3900,2.35541,6.51859,,,0,1
4500,3.50087,16.5251,6.52956,6.01666,0,1
,2.81229,7.43676,,,0,1
1400,3.44561,,9.44417,6.70274,0,1
3200,3.51968,28.7407,7.74388,7.20057,0,1
3500,1.13974,1.89148,,,0,1
5200,2.71599,15.0731,3.06412,,0,1
5300,1.58611,,,6.67371,0,1
4500,,15.1476,,,0,1
3200,3.93663,28.0142,,7.65626,0,1
,1.2091,7.43841,,,0,1
1300,,9.21938,,8.44345,0,1
1200,2.1818,25.1105,,,0,1
3000,4.97791,1.85307,,,0,1
3100,1.21741,8.73741,,,0,1
2200,2.42638,17.7934,,6.64945,0,1
2600,2.95683,2.73535,,,0,1
1800,2.03262,11.43,,,0,1
1300,,29.2588,,,0,1
4600,2.91061,1.34037,8.3713,,0,1
4800,,15.2024,,,0,1
5000,3.91344,2.51618,,6.32163,0,1
2700,2.81686,21.1801,4.54627,6.75857,0,1
5500,2.81733,10.9161,,,0,1
1300,2.96912,24.8603,8.43281,,0,1
4100,1.81114,5.51482,,7.50156,0,1
3000,1.28224,,9.16232,8.95562,0,1
5000,2.40782,5.26944,3.03515,7.3124,0,1
4800,3.71084,8.86651,6.5564,,0,1
5200,3.05833,24.8142,3.58368,,0,1
3700,1.28253,13.591,,,0,1
5800,2.23995,2.16832,,,0,1
1200,,18.963,6.48228,,0,1
5900,3.03479,6.65861,9.82944,6.79357,0,1
3100,1.79645,23.6092,,,0,1
,5.5666,1.32031,,,0,1
2600,5.16812,4.10797,3.43311,,0,1
3000,1.28687,12.7379,,,0,1
5600,,27.6282,9.74768,8.609,0,1
2900,1.51039,11.4219,8.13673,8.34587,0,1
5300,2.58233,8.4471,,,0,1
2900,1.39062,20.6952,,,0,1
1200,1.42484,1.39178,,8.30715,0,1
3200,1.7372,9.23641,,,0,1
,1.13632,6.15225,8.69192,,0,1
5200,2.51422,14.307,,6.51442,0,1
4900,5.95822,1.00358,9.48851,,0,1
1100,4.62634,22.9447,,7.57807,0,1
2500,3.65631,,,6.0176,0,0
1800,,28.6458,8.63467,,0,1
5100,,2.79719,,,0,1
1100,4.95669,4.31196,,,0,1
5900,1.13227,15.7652,9.6151,8.46846,0,1
1900,,3.99573,6.41232,,0,1
1900,1.12861,15.9965,,7.60428,0,1
3300,4.64279,21.6613,9.9682,6.54678,0,1
1100,5.83501,15.7445,,,0,1
4700,,,,,1,1
5600,3.40945,1.67077,,6.12114,0,1
5500,5.9931,22.0577,,8.08703,0,1
4600,,25.6025,,6.01934,0,1
,4.57136,21.6648,5.795,,0,1
2700,4.48883,,,,0,1
2600,4.83155,2.92195,7.40185,7.55087,0,1
1500,4.92552,24.4713,,8.90186,0,1
5000,3.47939,23.025,,,0,1
2000,,20.2589,,,0,1
5000,1.54427,2.55662,,7.58204,0,1
5100,3.21864,26.8459,8.35257,8.56933,0,1
5700,1.40447,18.4754,,,0,1
3400,5.73477,3.56077,3.71499,,0,1
5000,1.46135,2.50133,,,0,1
2500,5.85721,1.53276,4.01101,7.24054,0,1
4400,1.47604,5.62945,,,0,1
1600,4.55132,6.05548,4.16995,7.73673,0,1
2400,3.14018,,8.0049,,0,1
2600,,5.10718,,7.99405,0,1
4600,1.6425,1.00812,3.80212,,0,1
1100,3.01368,21.8117,,6.45735,0,1
4200,4.69104,10.6452,,,0,1
,5.70702,14.8106,,8.15404,0,1
4200,5.84405,23.2798,3.17996,,0,1
4400,2.56621,16.0279,,,0,1
5900,1.60777,26.6091,,,0,1
3500,2.17341,24.8568,6.29811,,0,1
3000,3.77712,12.5701,5.59592,,0,1
2600,1.30264,6.6236,,,0,1
,2.85911,7.06932,,,0,1
5100,4.34278,21.5022,,8.99189,0,1
1400,4.15482,27.8258,8.57504,8.21054,0,1
4600,2.32555,28.1726,,,0,1
3700,2.27555,3.96647,,,0,1
1900,3.58222,14.9973,,,0,1
3500,4.41554,8.86467,,7.39336,0,1
2500,1.44752,29.6495,7.7078,,0,1
,4.8305,12.0503,,6.98225,1,1
4600,3.04169,17.1354,,7.45825,0,1
2200,3.22509,6.96341,,,0,1
5600,2.07776,9.49997,9.1321,6.48942,0,1
2600,1.33656,13.9758,9.08337,,0,1
1200,2.36136,27.6702,,,0,1
4300,4.031,11.1329,,,0,1
,2.03806,7.67979,8.30169,7.09248,0,1
1200,4.17198,9.30635,,,0,1
1100,1.02038,25.8316,4.32032,7.07859,0,1
1000,2.00243,27.4428,4.00968,7.35974,0,1
2500,5.67497,21.4434,4.33901,,0,1
3100,2.65701,28.1131,,8.73916,0,1
3200,5.48218,,,,0,1
5500,1.07502,27.1677,,,0,1
4000,1.51613,28.2565,4.71887,8.92171,0,1
1800,4.31419,11.658,,,0,1
5200,4.11859,3.98761,4.43239,8.933,1,1
1400,2.43757,24.1849,7.37838,,0,1
1900,4.93577,12.0161,9.76439,,0,1
1100,5.99096,1.93391,,,0,1
2600,1.84324,8.391,,,0,1
2100,5.38533,7.02982,,,0,1
1800,3.39795,28.9934,,6.70953,0,1
4200,1.71171,,,,0,1
3200,4.52892,,7.83661,,0,1
4900,,26.808,,,0,1
5300,3.0664,20.3518,,8.88674,0,1
2700,5.13661,18.8477,9.44512,,0,1
5600,3.38945,16.9557,,,0,1
1000,1.89308,28.7567,,,0,1
2300,5.12892,4.73087,,,0,1
1300,3.15255,28.6733,,8.07873,0,1
3100,3.0458,15.509,,,0,1
3400,5.40969,18.5635,,,0,1
2700,2.64554,23.6367,3.28377,8.4753,0,1
1000,2.50964,,,8.79178,0,1
1800,5.91509,1.88323,8.77649,,0,1
5600,5.56474,23.5791,3.252,,0,1
2300,,18.9201,,8.27419,0,1
1600,2.67712,28.1438,,,0,1
3600,,21.5082,,,0,1
1400,3.32968,8.83587,,7.29868,0,1
2200,2.67602,12.975,,,0,1
5400,4.80599,4.67772,8.12951,,0,1
1300,4.39423,16.6,9.30336,8.459,0,1
3500,1.5874,7.7215,6.76138,,0,1
5100,1.17098,1.7775,8.37379,8.20222,0,1
5900,4.10215,27.4139,8.42563,,0,1
3900,4.64562,21.1267,6.56135,8.46989,0,1
,3.37693,8.51053,,,0,1
4900,4.26776,9.90158,6.64916,,0,1
3300,3.63869,23.2457,,6.5816,0,1
1700,4.01137,17.1677,3.34203,8.11354,0,1
1600,4.15696,,4.71154,6.65437,0,1
5900,2.14465,25.185,,,0,1
3500,5.47977,9.78161,7.65631,,0,1
,1.45656,3.98114,,,0,1
3600,3.98726,7.93076,,,0,1
3300,3.65636,22.2585,3.53527,6.10538,1,1
3600,5.82714,6.02048,7.26286,,0,1
2500,1.36605,18.142,,8.54159,0,1
5200,2.80765,10.1554,4.15742,8.06741,0,1
1900,5.29495,19.1481,,6.7523,0,1
2800,4.89438,25.1281,,,0,0
,4.64861,11.7146,9.23302,8.51803,0,1
2500,3.2789,,6.37644,,0,1
2800,1.89146,12.3761,,8.76482,1,1
1900,4.84988,3.94892,7.28557,,0,1
1300,3.62917,10.633,3.88636,6.96157,0,1
4000,,11.3226,,,0,1
2200,3.24732,,4.2544,6.85505,0,1
4300,3.83663,9.87931,5.72531,,0,1
2700,4.56538,27.8067,3.61558,7.63953,0,1
2000,1.60104,27.2298,,,1,1
5500,4.74945,4.58859,,,0,1
5700,2.44147,10.3364,,,0,1
5400,5.10789,13.5143,9.05336,8.61711,0,1
4200,3.25975,12.4795,,6.13534,0,1
4000,2.18497,,,,0,1
5400,3.44902,16.349,3.39023,6.91379,0,1
4500,4.79793,,,,0,1
5100,3.22697,,8.16819,,0,1
3500,3.60956,29.0411,,,0,1
2000,,27.2562,7.62499,,0,1
5600,5.8833,21.791,,8.53217,0,1
3000,,29.3083,,,0,1
5400,5.68947,28.2159,,,0,1
1200,1.86886,29.3941,8.27609,,0,1
5900,5.75076,29.2251,4.69345,6.11982,0,1
2200,3.88172,11.3372,8.53581,,0,1
5100,1.97196,,,,0,1
1800,2.0079,8.05408,,,0,1
5500,,6.51102,8.41663,,0,0
3800,3.56603,17.5632,,,0,1
2800,4.95313,4.48834,,,0,1
2000,4.65829,6.72734,,,0,1
2200,4.85328,15.5824,7.63746,,0,1
2700,1.08795,16.7059,3.51597,8.52818,0,1
2500,5.19869,9.62469,,,0,1
5600,5.86947,18.5587,,7.37598,0,1
2300,4.03473,1.77808,4.26988,6.52568,0,1
1300,,,,,0,1
1800,3.78164,18.9884,3.72723,,0,1
5400,1.15738,,,,0,1
2300,2.11533,3.36003,5.39346,,0,1
2700,5.69594,13.7078,7.7529,,0,0
,2.3211,2.26044,,8.18703,0,1
4700,1.47299,,,,0,1
3600,2.3983,22.3016,,,0,1
3000,,13.6511,,6.38198,0,1
1900,5.5403,27.0885,5.67262,,0,1
1500,5.70238,20.4549,,,0,1
5100,3.03765,18.5346,,8.16532,0,1
3300,5.26192,23.32,,,0,1
4600,2.71549,11.2807,,6.08634,0,1
1400,,6.31298,,,0,1
1300,3.03676,13.9093,,,0,1
1600,3.22002,4.65344,,6.84135,0,1
5500,5.27159,13.7055,,6.01512,0,1
1700,,23.4326,3.8766,,0,1
4100,1.53824,4.93999,,8.50331,0,1
4000,4.85843,10.6746,,,0,1
3800,3.60017,,9.53672,6.09403,0,1
3400,3.75649,1.46753,7.22214,,0,1
2600,2.92435,6.71217,,7.44875,0,1
4600,5.60548,19.9261,,8.46254,0,1
2100,4.02553,10.7614,3.14941,,0,1
3900,,19.923,4.14644,,0,1
4800,4.89785,14.7909,,6.69537,0,1
3800,,,,6.99835,0,1
5700,5.39718,4.66048,5.48293,,0,1
1200,5.9195,6.86512,,,0,1
2800,3.84197,16.3858,,,0,1
,1.06314,7.1447,,8.95182,0,1
2900,4.29419,5.59529,8.74134,6.522,0,1
4100,5.17835,,,,0,1
5900,5.7121,24.2969,6.59014,7.62893,0,1
,1.51309,12.1008,6.66401,8.27982,0,1
3700,5.55076,,3.47441,,0,1
2900,2.572,18.6052,,6.32788,0,1
2900,2.07316,16.0299,7.07615,,0,1
5900,,9.55833,,7.35287,0,1
4900,5.47811,24.5259,,6.94783,0,1
5000,2.02759,,3.56145,,0,1
5500,,10.1194,5.19937,8.02507,0,1
2800,2.33369,3.64121,,6.32629,0,1
5000,5.10199,,,,0,1
,1.90587,27.7807,4.00194,,0,1
5000,3.13658,5.9546,5.47882,7.84172,0,1
1200,4.485,9.13993,6.95025,,0,1
5000,1.14917,3.21985,,,0,1
1300,2.16648,8.76104,,,0,1
5700,3.71311,11.8594,8.19072,,0,1
3600,4.6198,6.90513,,8.97434,0,1
,5.25647,1.05649,7.55846,7.96014,0,1
4200,4.97115,2.74109,,,0,1
4800,1.34601,,,8.07795,0,1
1500,5.68154,22.6017,,,0,1
5400,4.12005,13.9097,,8.07,0,1
4700,5.99485,,,6.26964,1,1
5500,3.48778,20.7828,8.1609,,0,1
2900,2.4422,13.2947,,,0,1
5000,3.94512,11.6424,4.19864,7.9434,0,1
3700,4.42925,7.03132,,7.56151,0,1
3400,5.75611,,,,0,1
5600,2.25953,9.15716,7.73928,,0,1
1800,2.71814,12.8465,4.13517,,0,1
5200,5.77644,11.852,9.13639,,0,1
5300,4.47913,9.22699,,,0,1
5900,1.40985,13.437,,,0,1
1200,,28.9168,3.0977,,0,1
2000,4.10411,27.6,,6.25961,0,1
2600,1.36195,16.4365,6.73218,,0,1
2900,5.99027,27.2653,,8.15437,0,1
3700,2.52456,20.9438,8.02555,7.77051,0,1
5400,5.71115,15.8596,,,0,1
2100,1.14349,24.2377,,,0,1
1400,1.96359,12.2192,8.23254,,0,1
5900,3.74191,22.6755,5.70457,7.08302,0,1
2900,4.24401,20.2831,,7.67654,0,1
5000,,5.35096,,,0,1
1100,5.20455,10.1275,,,0,1
4000,5.75644,4.5861,4.19557,6.28285,0,1
1900,2.69431,20.7914,6.38644,6.19962,0,1
5800,1.61991,7.15928,,,0,1
4500,4.43935,5.71998,,,0,1
,5.45631,,,8.94822,0,1
3700,2.85905,22.3276,9.80803,,0,1
4600,2.18475,4.49232,,6.56803,0,1
,1.77738,12.165,,,0,1
2200,1.66303,28.902,,8.26404,0,1
4100,4.87083,14.0179,,8.52647,0,1
5500,5.71713,14.7344,4.86939,8.5641,0,1
2800,4.61265,,6.40453,,0,1
3500,2.0583,2.91939,,,0,1
,5.71725,,,,0,1
2000,4.02531,14.2634,,,0,1
4300,,3.47605,,6.65827,0,1
2900,4.10856,,,7.06928,0,1
1900,4.62687,16.3619,,,0,1
1000,3.64391,22.3006,,6.30228,0,1
1200,,13.6546,,6.2662,0,1
2200,5.72201,6.06951,,,0,1
4200,,10.448,,,0,1
5500,5.76806,4.18343,,8.8567,0,1
,5.61555,27.7063,6.5604,,0,1
1400,5.32555,16.2989,,7.68771,0,1
5600,3.42674,26.6824,,,0,1
3500,2.72673,,5.49984,,0,1
2700,1.38089,4.72436,7.74885,8.09511,0,1
,5.78722,1.18075,,7.5064,0,1
2000,2.17621,,6.66423,,0,1
1300,2.18854,19.5181,,,0,1
4200,4.90865,11.8746,4.10498,7.63398,0,1
4000,5.11298,12.2761,4.57887,,0,1
4000,4.00755,22.9015,8.13265,,0,1
2600,3.60409,,,8.20429,0,1
3600,,,3.31202,7.76695,0,1
3500,2.43753,17.6217,6.80009,,0,1
,4.9155,24.686,,7.58035,0,1
4500,1.23842,8.38097,,,0,1
3900,1.79348,12.458,,8.35091,0,1
5300,1.82229,,4.50418,,0,1
3500,5.50577,18.2508,7.15058,6.19939,0,1
3700,4.97294,4.78218,4.19994,6.34532,0,1
5000,3.89706,17.1967,,,0,1
4600,1.07478,22.5033,4.132,6.40764,0,1
,1.94076,5.4831,,6.20518,0,1
3000,,2.31134,6.33644,7.00839,0,1
1500,5.11341,16.8296,,7.77135,0,1
4000,5.6083,,7.41469,8.74548,0,1
5700,1.69272,9.35417,5.15864,6.55992,0,1
2700,5.49145,29.687,,7.53252,0,1
3200,5.30366,10.325,,7.18914,0,1
3500,1.27302,,6.56572,,0,1
5300,4.49926,29.4192,,6.30817,0,1
1400,,15.1824,6.07916,,0,1
1300,2.60259,25.6806,,,0,1
5900,2.51662,3.17306,6.16878,,0,1
1200,4.31968,24.7893,7.23256,,0,1
5900,4.01991,5.58188,6.55426,7.92486,0,1
4500,4.47595,23.559,,8.91533,0,1
4900,5.589,11.5831,7.93334,,0,1
3600,1.43088,,,,0,1
3100,5.26757,7.14965,9.74144,7.27528,0,1
3300,,13.2275,3.40033,6.23915,0,1
3900,4.89318,17.0996,7.12444,7.42931,0,1
5400,4.05846,7.64465,6.41723,8.33159,0,1
4900,5.66909,23.8286,6.1209,,0,1
2700,1.68284,,7.2504,8.75986,0,1
3500,5.99621,7.9037,6.03677,,0,1
4900,2.86874,,,,0,1
4200,2.55006,,,,0,1
4300,1.86328,17.0671,,,0,1
1300,3.11304,6.97853,5.39457,8.08883,0,1
4500,3.17512,,,7.42136,0,1
5800,3.1428,16.2018,,,0,1
4700,5.47883,11.453,3.27757,,0,1
3200,3.23183,22.2162,3.66638,8.46098,0,1
5400,3.28627,19.2636,5.20676,,0,1
2900,5.1211,12.2802,,,0,1
5400,4.67098,,,8.66802,0,1
1600,2.82495,19.3319,,,0,1
5000,5.69328,7.35347,,,0,1
3500,,20.4614,7.15692,6.77244,0,1
4000,,26.0126,8.63897,,0,1
4300,4.67478,28.6939,,,0,1
5200,1.21215,29.1652,8.5021,,0,1
2600,3.81844,29.7973,,8.67206,0,1
5500,2.03401,9.17148,7.72998,,0,1
2000,,4.75817,,,1,1
4100,1.88944,23.6184,,,0,1
3900,1.48356,24.8293,,7.69394,0,1
,1.90319,28.0193,,,0,1
2600,3.68929,6.97388,,,0,1
2200,,27.2632,,8.22125,0,1
5400,3.30606,19.542,,,0,1
,3.59636,5.50018,,,0,1
5800,5.68787,17.3451,3.28602,6.38229,0,1
3400,5.58419,17.0854,,,0,1
4200,3.96159,7.6942,,7.17453,0,1
5900,5.32649,29.3424,7.08573,6.43699,0,1
2600,5.80754,7.03861,,8.92753,0,0
5400,2.52591,18.5363,,7.05532,0,1
4500,2.92911,25.1534,,6.38743,0,1
5600,2.44731,25.3584,,,0,1
1300,5.30384,11.6061,,,0,1
3700,3.21422,10.9536,5.97959,6.19016,0,1
2400,1.07857,10.293,3.02825,,0,1
2200,,,,,0,1
2600,5.07202,6.43622,,,0,1
5000,3.56335,28.5046,3.88662,,0,1
2200,4.74502,16.1095,3.93919,,0,1
4100,4.57968,6.37659,,,0,1
4200,3.31633,17.1379,,,0,1
1800,3.16086,11.4234,,7.73211,0,1
5400,1.79419,28.0448,9.63099,,0,1
3900,2.26743,,,,0,1
5000,5.31631,11.0873,4.98581,,1,1
1500,3.39552,8.82894,,7.47715,0,1
1200,5.6487,6.21922,,,0,1
3900,2.19496,7.16041,,,0,1
1600,,26.0954,8.89775,,0,1
3900,4.78267,6.4167,5.60019,8.93754,0,1
,1.91422,23.7617,4.68911,,0,1
4200,1.21874,3.41163,3.81784,8.79198,0,1
,2.44913,3.39148,,,0,1
1500,3.85917,19.6091,,,0,1
4100,3.16902,22.2704,,8.74305,0,1
,,,3.54593,8.55964,0,1
1000,5.18554,9.62532,,,0,1
2700,5.77966,17.8547,,,0,1
4100,3.30692,10.6405,,6.49269,0,1
5700,5.56268,27.5251,,8.78099,0,1
5400,4.9537,,,,0,1
3000,2.17541,2.47835,,8.00418,0,1
4600,3.52885,28.8568,7.62985,,0,1
5500,5.21353,24.3676,,,0,1
5200,3.8163,15.522,,,0,1
,5.6713,19.9211,,,0,1
2700,1.70592,6.24163,,8.12575,0,1
1000,1.35716,1.79558,,8.88014,0,1
2000,3.67379,12.2,,,0,1
1600,5.36713,25.103,3.30728,,0,1
4700,5.61073,15.4065,,8.99411,0,1
3300,5.61471,18.7403,,7.34134,0,0
1400,5.60276,19.8722,,8.94137,0,1
2700,3.64879,24.3611,,6.41243,0,1
2400,5.07341,10.6669,,7.85596,0,1
4000,3.45433,,6.63926,,0,1
,4.5731,18.6487,,,0,1
2900,4.3227,,,,0,1
3400,1.109,,7.63683,,0,1
,2.42186,18.2419,,,0,1
3000,3.98974,8.69133,9.85027,6.07709,0,1
2000,1.20084,17.5959,,,0,1
5900,1.03917,8.92907,,,0,1
1200,4.38923,17.176,8.62706,8.30238,0,1
2800,5.17892,11.713,,,0,1
2900,,29.281,,8.44444,0,1
1000,4.41227,11.1847,,,0,1
,5.5888,20.99,5.7584,8.67811,0,1
5200,1.07677,2.2775,7.34852,6.15898,0,1
4000,5.06994,6.58072,9.53979,,0,1
3200,5.27828,,,,0,1
2400,1.11831,4.62698,,,0,1
2000,3.43456,,7.68775,8.88993,0,1
4900,,16.1448,,6.53137,0,1
2400,3.77165,6.54436,,8.57288,0,1
5900,5.50935,4.08803,,6.73558,0,1
5200,4.60965,2.98079,,7.51124,0,1
1600,3.56961,23.0988,,7.78713,0,1
,2.05083,29.6525,,,0,1
4100,4.1028,8.91111,,7.38906,0,1
4900,5.34455,,8.45798,7.57095,0,1
4600,2.12289,27.0262,3.88225,,0,1
3200,1.5615,17.2528,7.27525,6.12292,0,1
1300,4.95915,12.009,4.40552,7.60499,0,1
1300,5.72172,2.6159,,6.13382,0,1
4200,,21.5023,,8.92074,0,1
3400,1.28157,22.8032,4.2266,7.7347,0,1
2200,2.58423,10.2917,,7.18321,0,1
3200,5.16796,,,8.79814,0,1
1900,2.31146,26.6289,,,0,1
,3.56994,11.1163,6.4842,6.30161,0,1
4300,3.37572,21.7539,8.99319,7.63733,0,1
2000,,8.35508,,8.58855,0,1
4700,1.40484,16.5445,,,0,1
2400,4.59592,29.4006,6.97508,6.20022,0,1
5000,1.86284,22.7447,,7.59615,0,1
4400,,14.7428,,,0,1
2600,5.67066,,,,0,1
3700,1.88506,2.36723,7.69747,,0,1
3800,2.57293,14.579,8.91259,7.64037,0,1
4000,4.75286,22.0294,7.42866,,0,1
3900,2.13624,9.92566,6.2797,,0,1
5400,5.13962,23.4645,8.99342,6.4568,0,1
2100,1.03462,16.8121,3.18919,,0,1
5500,5.40403,3.19738,,,0,1
4600,1.0825,18.6721,7.20431,,0,1
4800,1.62915,,5.66764,6.54227,0,1
3600,2.28722,4.37761,6.99415,,0,1
3300,4.39551,14.2445,3.11044,,0,1
4600,5.24883,14.3404,,6.8923,0,1
,3.17617,2.61465,,,0,1
1800,,15.6507,,,0,1
5500,2.84306,6.65566,,8.67795,0,1
3000,1.09342,22.0149,,,0,1
4200,5.03914,13.4257,8.41452,,0,1
5800,2.5038,25.6415,,,0,1
5400,2.4035,20.2196,,,0,1
5600,1.4703,,,6.35261,0,1
4000,4.97814,16.45,,,0,1
3700,4.9861,13.6407,,8.27988,0,1
3800,1.86036,2.39592,8.22668,8.96986,0,1
,5.0306,7.23287,,,0,0
,1.47912,7.07543,,,0,1
4500,5.75759,26.0936,,,0,1
5700,2.805,,3.81704,,0,1
4100,1.01096,16.1259,,,0,1
2800,3.10081,7.88428,,8.31857,0,1
,3.01885,15.0841,,,0,1
5700,3.70105,19.1647,4.43178,6.3599,0,1
1200,4.6651,19.4308,,6.62515,0,1
1800,1.68236,13.6349,6.43255,7.61088,0,1
5700,5.25547,15.733,,,0,1
1800,3.7639,7.18007,5.49084,6.70931,0,1
3900,2.88659,11.8823,,6.03118,0,1
4000,3.93641,2.40204,7.76472,7.84219,0,0
2900,5.8568,5.17713,9.97029,6.94577,0,1
4200,2.43337,19.509,7.02712,6.36466,0,1
5100,2.91121,10.9514,,8.0564,0,1
2400,4.06818,14.1732,,7.23181,0,1
1700,5.94052,,7.56992,,0,1
5800,,7.18803,,6.7725,0,1
5400,2.04039,22.099,7.30665,8.10363,0,1
5100,5.93235,24.8288,,7.21003,0,1
5200,3.67192,28.5807,3.01191,7.88126,0,1
4700,2.32621,8.63137,5.7437,6.52076,0,1
2100,2.03275,18.3714,,,0,1
4600,5.40806,8.16188,,,0,1
2000,3.3249,21.1885,,,0,1
5800,2.21805,24.641,3.38146,8.74631,0,1
,,20.9732,3.74623,6.07337,0,1
5600,4.5308,19.1013,9.39798,,0,1
1400,1.87192,9.32812,,,0,1
1700,5.00134,12.7136,,8.60664,0,1
2800,4.12562,,7.52161,,0,1
1400,2.88469,26.3249,,7.75816,0,1
2200,1.68456,,9.146,6.61429,0,1
3400,1.02471,,,7.55435,0,1
3400,3.54234,13.9507,,,0,1
2200,4.27374,10.104,6.61137,7.43977,0,1
5300,2.37865,13.3469,,,0,1
4000,3.33462,25.1344,9.53367,8.71384,0,1
5200,1.02366,8.50362,8.40439,,0,1
2000,3.30322,25.9358,,,0,1
4100,4.06365,23.7998,,,0,1
,3.9281,16.5802,8.50161,,0,1
2000,3.62212,2.72799,,,0,1
5700,3.71315,14.0327,9.90457,8.24422,0,1
2400,5.99336,29.2413,,,0,1
3500,5.41227,20.7427,,7.08197,0,1
3400,5.95647,28.5116,,7.51861,0,1
4000,3.157,8.16034,,,0,1
2000,5.18234,20.7324,,8.43313,0,1
1400,1.07043,14.2487,8.62511,8.98911,0,1
5400,5.49229,2.47853,6.99164,7.68057,0,1
2900,,3.50593,4.90526,7.05764,0,1
3200,3.40212,3.47438,,7.15863,0,1
2000,5.03762,12.4683,6.11727,8.50726,0,1
1400,,14.0316,4.35015,,0,1
1800,3.94571,24.3509,,,0,1
4800,1.92801,18.8118,4.31386,,0,1
2000,2.35867,3.81525,,7.4192,0,1
1100,,28.6015,6.45007,,0,1
4000,5.15291,18.7041,,8.25238,0,1
3600,4.72485,18.9317,,,0,1
5100,3.39695,24.9374,,,0,1
5000,3.68605,13.2433,,,0,1
5800,1.88277,24.1109,3.43252,8.76302,0,1
3900,4.48805,1.06335,7.18263,,0,1
,2.82914,11.1027,,6.97985,0,1
1700,5.66376,1.92128,4.63291,,0,1
1500,3.55674,19.4081,,7.52294,0,1
3700,3.37078,23.2294,,,0,1
5700,3.07934,2.77823,,,0,1
3000,2.86188,19.0551,,,0,1
,1.39407,10.0428,5.64795,8.21143,0,1
4800,2.58305,12.0054,8.934,,0,1
4800,1.05472,15.0155,,7.70352,0,1
2700,5.5766,,,,0,1
5700,4.04452,20.3734,,8.34103,0,1
1600,3.6373,20.6078,,7.85236,0,1
5100,3.97675,20.371,,,0,1
3900,,,,,0,1
5200,3.00425,11.7962,4.3131,8.93695,1,0
,1.0498,,,8.58093,0,1
3000,4.61306,29.3394,,,0,1
1500,2.03939,17.8887,,7.35674,0,1
3400,5.99579,,,,0,1
3100,3.36844,19.8598,,,0,1
2300,5.06104,1.00154,,,0,1
5100,5.34846,1.45614,,8.42771,0,1
3400,1.80149,11.3923,,8.49252,0,1
2300,5.50906,19.4947,,,0,1
3500,1.7235,16.5954,6.87071,6.43034,0,1
2600,3.84707,6.85374,,,0,1
5000,3.73885,1.24536,7.02619,,0,1
4100,5.0967,13.2933,,7.57554,0,1
1100,2.18367,19.5998,,6.02151,0,1
4800,5.12083,21.2922,,,0,1
5000,3.6538,10.5316,,7.14599,0,1
2000,5.93767,26.5329,,8.60458,0,1
,3.33761,19.7995,,,0,1
3100,2.42045,8.00409,7.4497,6.74597,0,1
1700,5.5756,28.8624,4.7844,,0,1
4000,2.09896,4.3369,,,0,1
4300,3.95837,8.61713,6.6408,,0,1
2600,1.1564,13.9693,,,0,1
3000,3.62258,,4.25631,6.52172,0,1
5700,3.33293,19.1386,,,0,1
2600,4.09458,,9.45708,,0,1
3600,2.76293,19.8214,4.42326,,0,1
3900,,10.1035,,,0,1
4200,3.59929,,,,0,1
2500,1.01571,14.931,9.66842,8.35557,0,1
2900,5.91569,18.9542,,6.76422,0,1
3200,,25.1936,,,0,1
4600,5.35759,22.4358,,7.92013,0,1
1300,2.40032,21.5006,7.68556,,0,1
1700,,18.4588,,6.91131,0,1
3200,5.96896,22.0948,,8.36666,0,1
2500,4.92375,23.4238,6.16889,8.62734,0,1
4500,2.30887,4.97991,7.0472,7.51257,0,1
5800,1.53984,8.01569,,,0,1
2200,3.68546,4.47585,5.53347,,0,1
3600,3.40116,11.7128,,,0,1
1400,1.31761,28.8443,9.59544,,0,1
5900,,18.9302,5.66758,,0,1
3300,2.82173,24.4812,,,0,1
3300,5.13959,2.85107,,8.40906,0,1
2300,2.02765,5.61615,8.05831,,0,1
5600,1.1547,14.4679,,6.95667,0,1
3700,2.83325,5.24894,9.05627,,0,1
3300,5.5237,1.67592,,7.68408,0,1
4700,5.34049,7.11478,,6.99876,0,1
3100,3.76518,4.62962,7.46048,6.07318,0,1
5100,5.21041,11.486,4.70606,,0,1
1000,3.46222,,,7.26525,0,1
2900,3.40092,9.5235,,,0,1
5000,5.63892,13.5099,,,0,1
5800,,22.2058,,6.68443,0,1
1100,1.70692,,,7.95765,0,1
5600,2.21685,8.01146,,,0,1
